version,data_stage,name,mean_jerk
current,raw,total,53.66899322568199
current,processed,total,20.907723932440696
current,raw,nose,31.21098011466768
current,raw,left_eye_inner,32.346516132067826
current,raw,left_eye,32.27436721362642
current,raw,left_eye_outer,32.57240415283173
current,raw,right_eye_inner,31.78950202318198
current,raw,right_eye,31.23287203897655
current,raw,right_eye_outer,31.125855729768144
current,raw,left_ear,29.84298433024916
current,raw,right_ear,28.406320857717425
current,raw,mouth_left,28.97053225420597
current,raw,mouth_right,27.612041455381224
current,raw,left_shoulder,32.265876638935566
current,raw,right_shoulder,27.77713050054639
current,raw,left_elbow,63.09118814147107
current,raw,right_elbow,56.615552646405966
current,raw,left_wrist,99.04478106497025
current,raw,right_wrist,91.47464417562998
current,raw,left_pinky,117.76666563018512
current,raw,right_pinky,112.0145787952192
current,raw,left_index,116.21592824372819
current,raw,right_index,117.20828168129006
current,raw,left_thumb,107.46066771176358
current,raw,right_thumb,109.19623602048321
current,raw,left_hip,22.30164745289036
current,raw,right_hip,19.50512765896418
current,raw,left_knee,34.42374322790258
current,raw,right_knee,30.75374466866809
current,raw,left_ankle,38.31571928916327
current,raw,right_ankle,40.231823437918315
current,raw,left_heel,41.14615769039088
current,raw,right_heel,45.3083775038644
current,raw,left_foot_index,53.94124514569003
current,raw,right_foot_index,57.6332828187506
current,processed,nose,16.81792288924161
current,processed,left_eye_inner,17.353832936181526
current,processed,left_eye,17.156973030577188
current,processed,left_eye_outer,16.952170312732694
current,processed,right_eye_inner,17.034563467776074
current,processed,right_eye,16.684456693855648
current,processed,right_eye_outer,16.415185734308015
current,processed,left_ear,15.208530025344173
current,processed,right_ear,14.668697821783457
current,processed,mouth_left,15.420224503894454
current,processed,mouth_right,15.028931505078125
current,processed,left_shoulder,12.214746918867855
current,processed,right_shoulder,11.928304094625508
current,processed,left_elbow,16.83940594373036
current,processed,right_elbow,15.469148462136301
current,processed,left_wrist,29.85724715104597
current,processed,right_wrist,28.000647448887975
current,processed,left_pinky,36.70967678773328
current,processed,right_pinky,33.7743272856311
current,processed,left_index,37.10501221407196
current,processed,right_index,36.318723788545036
current,processed,left_thumb,34.31847131015555
current,processed,right_thumb,34.011133348326524
current,processed,left_hip,9.04214703871769
current,processed,right_hip,8.676500607891414
current,processed,left_knee,15.149401260628633
current,processed,right_knee,13.594028436758535
current,processed,left_ankle,21.44537675091415
current,processed,right_ankle,19.25690344139318
current,processed,left_heel,22.77734516554765
current,processed,right_heel,21.155886059724445
current,processed,left_foot_index,30.29819532642056
current,processed,right_foot_index,23.270772008016355
